#OTUID	Taxon	Confidence
928df156c29be64514a42db7b0ec84c4	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Leuconostoc	0.9998462635763805
76c650547a451fad382846ce7f771556	Unassigned	0.689102749730356
827b9e92af2e7c373aa1669f7b36ea25	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Zymomonas; s__Zymomonas_mobilis	0.9870396358622775
85862fc43a3c8f31e260f12844b6b00c	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Alkanindiges; s__uncultured_Acinetobacter	0.7534336518544609
2213f5c7c55b15da4add92971b691609	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Leuconostoc	0.9995234086217544
002cc83b0777ab5caa02a0d2f2b07962	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae; g__Acetobacter	0.9855350542278483
b52bea846063f906327dcda8e7cc3a2e	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Zymomonas; s__Zymomonas_mobilis	0.9999539990537796
ae9b1da5732ad52029ae74760c209ce0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae	0.9999999919629837
eb6c553ffa6f69354d427b0cff5e93c3	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae; g__Acetobacter	0.9795811376347422
9cf2db967d3427873f429a9f52493c47	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae; g__Acetobacter	0.9485895049772048
b8b4c380204dac7eb6d6979746875915	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae; g__Acetobacter	0.9491799965741436
6c6da106b32a32d46c6930a763aee014	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Zymomonas; s__Zymomonas_mobilis	0.9998982254994669
05fbcb75191985ece89ae4b54af756e3	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	0.9917333299092465
6983e6a07488cfe924990582faa92ef2	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae; g__Gluconobacter	0.9381402213698186
09fd30c2e0e2fc38cd149fce64357ad3	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	0.9999982227152372
c788d3fb92a454e349298a24c4009544	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Zymomonas; s__Zymomonas_mobilis	0.9999804347566327
0046cf63e6c594f2549989256c1db5ee	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Zymomonas; s__Zymomonas_mobilis	0.9996583878511767
8d191e1c6e4e87a9edcbd878d81a5b58	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae; g__Acetobacter	0.9826426363662291
f50fe4285d234460d53b4c30c29bf960	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae; g__Acetobacter	0.9418117780197737
30a50ca5247a2d63ae027c78feb2e825	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Zymomonas; s__Zymomonas_mobilis	0.9999696154050597
ad44a655ff558684a884dedfaa0d024d	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Zymomonas; s__Zymomonas_mobilis	0.999974069381754
22a192948c37a34e4aca6e6322c13b53	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Zymomonas; s__Zymomonas_mobilis	0.9997419510022969
dc0af69f68554ddb9755d562269b940d	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Zymomonas; s__Zymomonas_mobilis	0.996212247281832
7034c614b5b80f57b3ebd5a169e23bd6	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Zymomonas; s__Zymomonas_mobilis	0.9954492366919426
f199cd17f187230923b378d055a89075	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; s__Daucus_carota	0.9749783170239782
a3e97e8db29b25dbc2d159e692b665fc	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	0.9922255803544157
aee1e83c2068724b28d6e02de6e9adb4	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Lactococcus	0.9996837119821144
e7b22a440832ef61d115c492283911b5	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	0.992155957168223
fe4bf0747fa0f83e5175e0dba80fa75e	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Leuconostoc	0.9997961000924752
5136a603c56d737a84f7e9b47be90b20	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Zymomonas; s__Zymomonas_mobilis	0.9986961068293221
73a307ac6932105e77f71cbea02abdc5	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales	0.99858576189018
d6d9002b2a79cb557b5f620cfb04747f	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae; g__Acetobacter	0.9952128091881384
c73c0d370584842c3d12ede78254b7d5	Unassigned	0.8229000725825966
f4c80d7b47c9b4deba4a97e69337ec02	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Alkanindiges; s__uncultured_Acinetobacter	0.7542034261688045
928e0991dfb4015418fa311320740f7a	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Zymomonas; s__Zymomonas_mobilis	0.9787436557368473
aa94d50ced17feba44ae2132870e12bf	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae; g__Acetobacter	0.9413500572206559
f5b5018831dac94db0ea4490e692b378	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales	0.9985170119915373
8df68fee818d4e6cc3f278e30270a7b5	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae; g__Acetobacter	0.9826804983375089
418031d55594f5bf5b52bdf898b75a85	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Zymomonas; s__Zymomonas_mobilis	0.999998025012946
ac105f7475b458bd617a3f620f1fc0a2	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae; g__Acetobacter	0.951718132046978
